year,team,member1,member2,member3,member4,member5,member6
1997-1998,Bulls,michael jordan,scottie pippen,dennis rodman,toni kukoc,luc longley,ron harper
1998-1999,Spurs,tim duncan,avery johnson,david robinson,sean elliott,mario elie,
1999-2000,Lakers,shaquille oneal,kobe bryant,glen rice,ron harper,ac green,derek fisher
2000-2001,Lakers,kobe bryant,shaquille oneal,derek fisher,horace grant,rick fox,ron harper
2001-2002,Lakers,kobe bryant,shaquille oneal,rick fox,derek fisher,samaki walker,robert horry
2002-2003,Spurs,tim duncan,tony parker,bruce bowen,stephen jackson,david robinson,
2003-2004,Pistons,ben wallace,richard hamilton,chauncey billups,tayshaun prince,rasheed wallace,mehmet okur
2004-2005,Spurs,tony parker,tim duncan,bruce bowen,manu ginobili,rasho nesterovic,
2005-2006,Heat,dwayne wade,jason williams,udonis haslem,shaquille oneal,james posey,gary payton
2006-2007,Spurs,tim duncan,tony parker,bruce bowen,manu ginobili,michael finley,brent barry
2007-2008,Celtics,ray allen,paul pierce,kevin garnett,rajon rondo,kendrick perkins,
2008-2009,Lakers,pau gasol,kobe bryant,derek fisher,lamar odom,andrew bynum,
2009-2010,Lakers,kobe bryant,pau gasol,metta world peace,andrew bynum,lamar odom,derek fisher
2010-2011,Mavericks,dirk nowitzki,jason kidd,jason terry,shawn marion,tyson chandler,caron butler
2011-2012,Heat,lebron james,chris bosh,dwyane wade,mario chalmers,udonis haslem,shane battier
2012-2013,Heat,lebron james,dwyane wade,chris bosh,mario chalmers,ray allen,shane battier
2013-2014,Spurs,tony parker,tim duncan,kawhi leonard,marco belinelli,boris diaw,danny green
2014-2015,Warriors,stephen curry,klay thompson,draymond green,harrison barnes,andre iguodala,andrew bogut
2015-2016,Cavaliers,lebron james,kevin love,kyrie irving,jr smith,tristan thompson,timofey mozgov
2016-2017,Warriors,klay thompson,stephen curry,kevin durant,draymond green,andre iguodala,